iteration,strategy,temp_r2,time_r2,mean_r2,temp_mae,time_mae,temp_rmse,time_rmse,delta_mean_r2,secs
1,log_time,0.710587503325772,0.7646008099098236,0.7375941566177978,18.527718047592643,2.12069547655426,30.354221891669862,8.421738156628297,0.05713014124676252,387.1637179851532
1,per_target,0.710587503325772,0.6503405274162987,0.6804640153710353,18.527718047592643,3.3476789491743446,30.354221891669862,10.269422693911805,0.0,389.7522051334381
1,stratify_alloy,0.7162725739472245,0.689156241160475,0.7027144075538498,18.424880055020697,3.137332756863007,30.117158100066334,9.448055594597783,0.02225039218281455,395.80274295806885
1,stratify_temp_bin,0.7058757013639968,0.6973424546416421,0.7016090780028195,18.48386054988708,3.171969527004873,30.569581554763893,9.388021461121065,0.021145062631784173,396.192440032959
2,per_target,0.710587503325772,0.7646008099098236,0.7375941566177978,18.527718047592643,2.12069547655426,30.354221891669862,8.421738156628297,0.0,384.6226050853729
2,stratify_alloy,0.7162725739472245,0.8000220360410956,0.75814730499416,18.424880055020697,1.9516757945137684,30.117158100066334,7.6808428679400045,0.02055314837636224,388.8201141357422
2,stratify_temp_bin,0.7058757013639968,0.7999457442220922,0.7529107227930445,18.48386054988708,2.0293192782815153,30.569581554763893,7.796254236446586,0.015316566175246682,395.124351978302
3,per_target,0.7162725739472245,0.8000220360410956,0.75814730499416,18.424880055020697,1.9516757945137684,30.117158100066334,7.6808428679400045,0.0,388.85652208328247
3,stratify_temp_bin,0.7058757013639968,0.7999457442220922,0.7529107227930445,18.48386054988708,2.0293192782815153,30.569581554763893,7.796254236446586,-0.005236582201115558,384.361918926239
final,log_time+stratify_alloy,0.7180358976090099,0.8147619180551371,0.7663989078320734,18.38274255644738,1.9210927856802875,29.919224908169923,7.440122627176964,0.08593489246103814,
