n_samples,n_features,best_preproc_r2,best_reg_r2,best_backbone_r2,best_tuned_r2,best_model,best_backbone,n_trials,run_id,saved_at
54,17,0.3612795005153221,0.8004818726893993,0.8154607347694774,0.9055770153214447,ABR,resnet18,100,20260414_115740_66ad,2026-04-14 12:12:44
54,106,0.26740248488278234,0.8004474284582064,0.8004557173756308,0.8836378593581563,GBR,dinov2_vitb14,100,20260420_053751_7148,2026-04-20 05:55:57
54,106,0.26740248488278234,0.8004474284582064,0.8004557173756308,0.8836378593581563,GBR,dinov2_vitb14,100,20260420_053751_7148,2026-04-20 05:57:58
