number,cv_r2,state,datetime_start,datetime_complete,best_so_far
0,0.5113716381335267,COMPLETE,2026-05-02 11:30:01.357209,2026-05-02 11:30:18.953217,0.5113716381335267
1,0.4991253364535047,COMPLETE,2026-05-02 11:30:01.363331,2026-05-02 11:41:18.679091,0.5113716381335267
2,0.05918212254242381,COMPLETE,2026-05-02 11:30:01.366922,2026-05-02 11:30:11.557342,0.5113716381335267
3,0.5443579589253201,COMPLETE,2026-05-02 11:30:01.367596,2026-05-02 11:42:12.280596,0.5443579589253201
4,0.4627653067098485,COMPLETE,2026-05-02 11:30:01.370446,2026-05-02 11:30:18.321821,0.5443579589253201
5,0.21477931451005458,COMPLETE,2026-05-02 11:30:01.372418,2026-05-02 11:30:34.037415,0.5443579589253201
6,0.4556154059254762,COMPLETE,2026-05-02 11:30:01.398579,2026-05-02 11:30:31.283871,0.5443579589253201
7,0.48294016696902453,COMPLETE,2026-05-02 11:30:01.399463,2026-05-02 11:31:00.581909,0.5443579589253201
8,0.16812891891939294,COMPLETE,2026-05-02 11:30:11.561361,2026-05-02 11:30:20.558309,0.5443579589253201
9,0.5156196743786936,COMPLETE,2026-05-02 11:30:18.325594,2026-05-02 11:30:56.622052,0.5443579589253201
10,0.4268025485987138,COMPLETE,2026-05-02 11:30:18.956868,2026-05-02 12:26:30.650371,0.5443579589253201
11,0.49954552457651147,COMPLETE,2026-05-02 11:30:20.564456,2026-05-02 11:53:08.284604,0.5443579589253201
12,0.5190211163095408,COMPLETE,2026-05-02 11:30:31.288179,2026-05-02 11:31:58.101982,0.5443579589253201
13,0.4829981613635702,COMPLETE,2026-05-02 11:30:34.039212,2026-05-02 11:31:11.501993,0.5443579589253201
14,0.3904669554912133,COMPLETE,2026-05-02 11:30:56.636040,2026-05-02 11:31:20.183220,0.5443579589253201
15,0.5145155941575303,COMPLETE,2026-05-02 11:31:00.588252,2026-05-02 11:33:02.946532,0.5443579589253201
16,0.5506739782831688,COMPLETE,2026-05-02 11:31:11.505490,2026-05-02 11:32:29.968084,0.5506739782831688
17,0.47895635714599377,COMPLETE,2026-05-02 11:31:20.186762,2026-05-02 11:32:07.409965,0.5506739782831688
18,0.5176295754628449,COMPLETE,2026-05-02 11:31:58.116582,2026-05-02 11:32:27.820784,0.5506739782831688
19,0.3188397637364299,COMPLETE,2026-05-02 11:32:07.417384,2026-05-02 11:50:02.531985,0.5506739782831688
20,0.4646486300790126,COMPLETE,2026-05-02 11:32:27.825092,2026-05-02 11:52:13.149466,0.5506739782831688
21,0.159146837407833,COMPLETE,2026-05-02 11:32:29.970344,2026-05-02 11:54:27.277085,0.5506739782831688
22,0.3833167876178327,COMPLETE,2026-05-02 11:33:02.951106,2026-05-02 11:46:28.185883,0.5506739782831688
23,0.193062208531933,COMPLETE,2026-05-02 11:41:18.681786,2026-05-02 11:41:44.701025,0.5506739782831688
24,0.44524237507702324,COMPLETE,2026-05-02 11:41:44.703260,2026-05-02 12:11:54.494646,0.5506739782831688
25,0.17466823409044274,COMPLETE,2026-05-02 11:42:12.286721,2026-05-02 11:42:27.413871,0.5506739782831688
26,0.3041396597284881,COMPLETE,2026-05-02 11:42:27.416397,2026-05-02 11:43:34.150292,0.5506739782831688
27,0.5196494193589306,COMPLETE,2026-05-02 11:43:34.152840,2026-05-02 11:56:05.561289,0.5506739782831688
28,0.5125710272697894,COMPLETE,2026-05-02 11:46:28.189102,2026-05-02 12:01:36.267285,0.5506739782831688
29,0.5235540734715936,COMPLETE,2026-05-02 11:50:02.544751,2026-05-02 12:06:47.029854,0.5506739782831688
30,0.11306927305925907,COMPLETE,2026-05-02 11:52:13.158279,2026-05-02 11:52:51.930812,0.5506739782831688
31,0.520778644006015,COMPLETE,2026-05-02 11:52:51.936460,2026-05-02 12:15:35.384681,0.5506739782831688
32,0.4464940967430418,COMPLETE,2026-05-02 11:53:08.287293,2026-05-02 11:54:17.106526,0.5506739782831688
33,0.5361712862765166,COMPLETE,2026-05-02 11:54:17.111014,2026-05-02 12:12:22.028405,0.5506739782831688
34,0.5292518595204421,COMPLETE,2026-05-02 11:54:27.280226,2026-05-02 11:55:06.814496,0.5506739782831688
35,0.531126982362455,COMPLETE,2026-05-02 11:55:06.820386,2026-05-02 11:55:44.362463,0.5506739782831688
36,0.5380817807169871,COMPLETE,2026-05-02 11:55:44.365594,2026-05-02 12:11:13.477009,0.5506739782831688
37,0.542761752720737,COMPLETE,2026-05-02 11:56:05.565639,2026-05-02 11:56:56.946674,0.5506739782831688
38,0.5310633851280538,COMPLETE,2026-05-02 11:56:56.950491,2026-05-02 11:57:30.299066,0.5506739782831688
39,0.538506627439257,COMPLETE,2026-05-02 11:57:30.303652,2026-05-02 11:58:14.769728,0.5506739782831688
40,0.5526926257614293,COMPLETE,2026-05-02 11:58:14.776109,2026-05-02 11:58:56.451148,0.5526926257614293
41,0.5426427782189228,COMPLETE,2026-05-02 11:58:56.455024,2026-05-02 11:59:47.271344,0.5526926257614293
42,0.5060793097210123,COMPLETE,2026-05-02 11:59:47.275213,2026-05-02 12:09:15.054705,0.5526926257614293
43,0.5320651602397093,COMPLETE,2026-05-02 12:01:36.273879,2026-05-02 12:02:12.218544,0.5526926257614293
44,0.39330607000259454,COMPLETE,2026-05-02 12:02:12.222797,2026-05-02 12:02:51.441413,0.5526926257614293
45,0.517202811253191,COMPLETE,2026-05-02 12:02:51.446287,2026-05-02 12:18:41.741270,0.5526926257614293
46,0.515047666316038,COMPLETE,2026-05-02 12:06:47.033796,2026-05-02 12:07:24.981396,0.5526926257614293
47,0.5047362985325934,COMPLETE,2026-05-02 12:07:25.010563,2026-05-02 12:08:18.944485,0.5526926257614293
48,0.5177964324863445,COMPLETE,2026-05-02 12:08:18.949594,2026-05-02 12:08:52.984758,0.5526926257614293
49,0.5531286901402634,COMPLETE,2026-05-02 12:08:52.989496,2026-05-02 12:09:28.783665,0.5531286901402634
50,0.5523457829496403,COMPLETE,2026-05-02 12:09:15.060122,2026-05-02 12:09:57.798907,0.5531286901402634
51,0.4969136461997705,COMPLETE,2026-05-02 12:09:28.788241,2026-05-02 12:09:46.838391,0.5531286901402634
